pupil_id,attendance_date,attendance_status,date_recorded,session_json
P001,2024-12-09,Present,09/12/2024,
P001,2024-12-10,Present,2024-12-10,
P001,2024-12-11,Present,11/12/2024,
P001,2024-12-12,Present,2024-12-12,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-12-13,Present,2024-12-13,
P001,2024-12-16,Present,2024-12-16,
P001,2024-12-17,Present,2024-12-17,
P001,2024-12-18,Present,12-18-2024,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-12-19,Present,2024-12-19,
P001,2024-12-20,Present,20/12/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-01-06,Present,2025-01-06,
P001,2025-01-07,Present,2025-01-07,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-01-08,P,08/01/2025,
P001,2025-01-09,Present,2025-01-09,
P001,2025-01-10,Present,2025-01-10,
P001,2025-01-13,ill,2025-01-13,
P001,2025-01-14,Present,2025-01-14,
P001,2025-01-15,Present,01-15-2025,
P001,2025-01-16,P,01-16-2025,
P001,2025-01-17,present,2025-01-17,
P001,2025-01-20,Present,2025-01-20,
P001,2025-01-21,Present,2025-01-21,
P001,2025-01-22,Unauthorised,01-22-2025,
P001,2025-01-23,Present,23/01/2025,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-01-24,Authorised Absence,2025-01-24,
P001,2025-01-27,P,2025-01-27,
P001,2025-01-28,Present,2025-01-28,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": true}"
P001,2025-01-29,Present,2025-01-29,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P001,2025-01-30,,30/01/2025,
P001,2025-01-31,Present,01-31-2025,
P001,2025-02-03,Present,03/02/2025,
P001,2025-02-04,Present,04/02/2025,
P001,2025-02-05,Present,2025-02-05,
P001,2025-02-06,Present,2025-02-06,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-02-07,Present,2025-02-07,
P001,2025-02-10,Present,2025-02-10,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-02-11,Present,2025-02-11,
P001,2025-02-12,Present,02-12-2025,
P001,2025-02-13,Present,2025-02-13,
P001,2025-02-14,Present,2025-02-14,
P001,2025-02-24,Present,02-24-2025,
P001,2025-02-25,I,25/02/2025,
P001,2025-02-26,Present,26/02/2025,
P001,2025-02-27,Present,02-27-2025,
P001,2025-02-28,Present,2025-02-28,
P001,2025-03-03,Present,2025-03-03,
P001,2025-03-04,Present,2025-03-04,
P001,2025-03-05,Present,2025-03-05,
P001,2025-03-06,Present,2025-03-06,
P001,2025-03-07,Present,2025-03-07,
P001,2025-03-10,Present,10/03/2025,
P001,2025-03-11,present,03-11-2025,
P001,2025-03-12,Present,2025-03-12,
P001,2025-03-13,Present,13/03/2025,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-03-14,Present,2025-03-14,
P001,2025-03-17,Present,2025-03-17,
P001,2025-03-18,Present,03-18-2025,
P001,2025-03-19,Present,19/03/2025,
P001,2025-03-20,Illness,2025-03-20,
P001,2025-03-21,Present,2025-03-21,
P001,2025-03-24,Present,2025-03-24,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-03-25,present,25/03/2025,
P001,2025-03-26,Present,03-26-2025,
P001,2025-03-27,Present,27/03/2025,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2025-03-28,Illness,2025-03-28,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-09-02,Illness,2024-09-02,
P002,2024-09-03,Present,03/09/2024,
P002,2024-09-04,Present,2024-09-04,
P002,2024-09-05,present,2024-09-05,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-09-06,Present,06/09/2024,
P002,2024-09-09,Present,09-09-2024,
P002,2024-09-10,Present,10/09/2024,
P002,2024-09-11,Present,11/09/2024,
P002,2024-09-12,Present,2024-09-12,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-09-13,Present,2024-09-13,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-09-16,Present,2024-09-16,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P002,2024-09-17,P,2024-09-17,
P002,2024-09-18,,2024-09-18,
P002,2024-09-19,Present,2024-09-19,
P002,2024-09-20,Present,20/09/2024,
P002,2024-09-23,Present,2024-09-23,
P002,2024-09-24,Present,2024-09-24,
P002,2024-09-25,Present,2024-09-25,
P002,2024-09-26,Present,2024-09-26,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-09-27,Present,2024-09-27,
P002,2024-09-30,Present,2024-09-30,
P002,2024-10-01,Present,2024-10-01,
P002,2024-10-02,Illness,2024-10-02,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-10-03,Present,10-03-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-10-04,Present,2024-10-04,
P002,2024-10-07,Present,2024-10-07,
P002,2024-10-08,,10-08-2024,
P002,2024-10-09,Present,09/10/2024,
P002,2024-10-10,Present,2024-10-10,
P002,2024-10-11,P,2024-10-11,
P002,2024-10-14,Present,14/10/2024,
P002,2024-10-15,Present,2024-10-15,
P002,2024-10-16,Present,2024-10-16,
P002,2024-10-17,Present,10-17-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-10-18,Present,2024-10-18,
P002,2024-10-21,Present,10-21-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-10-22,Present,22/10/2024,
P002,2024-10-23,ill,2024-10-23,
P002,2024-10-24,Present,24/10/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P002,2024-10-25,Present,25/10/2024,
P002,2024-11-04,Present,2024-11-04,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-05,Authorised Absence,2024-11-05,
P002,2024-11-06,Illness,2024-11-06,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-07,Present,11-07-2024,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-08,Present,08/11/2024,
P002,2024-11-11,Present,11/11/2024,
P002,2024-11-12,ill,2024-11-12,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-13,Present,11-13-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-14,Present,11-14-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-15,Present,2024-11-15,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-18,Present,18/11/2024,
P002,2024-11-19,Present,2024-11-19,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-20,Present,2024-11-20,
P002,2024-11-21,Present,2024-11-21,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-22,Present,22/11/2024,
P002,2024-11-25,Present,2024-11-25,
P002,2024-11-26,Present,2024-11-26,
P002,2024-11-27,Present,2024-11-27,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-11-28,Present,2024-11-28,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": true}"
P002,2024-11-29,Present,2024-11-29,
P002,2024-12-02,Present,2024-12-02,
P002,2024-12-03,I,03/12/2024,
P002,2024-12-04,Present,04/12/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P002,2024-12-05,,05/12/2024,
P002,2024-12-06,Present,2024-12-06,
P002,2024-12-09,Present,2024-12-09,
P002,2024-12-10,Present,12-10-2024,
P002,2024-12-11,Present,2024-12-11,
P002,2024-12-12,Present,12/12/2024,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-12-13,Present,13/12/2024,
P002,2024-12-16,Present,2024-12-16,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2024-12-17,P,12-17-2024,
P002,2024-12-18,Present,18/12/2024,
P002,2024-12-19,Authorised Absence,2024-12-19,
P002,2024-12-20,Present,2024-12-20,
P002,2025-01-06,Present,2025-01-06,
P002,2025-01-07,Present,2025-01-07,
P002,2025-01-08,Present,2025-01-08,
P002,2025-01-09,Present,01-09-2025,
P002,2025-01-10,Present,2025-01-10,
P002,2025-01-13,Present,2025-01-13,
P002,2025-01-14,Present,2025-01-14,
P002,2025-01-15,present,2025-01-15,
P002,2025-01-16,I,2025-01-16,
P002,2025-01-17,I,01-17-2025,
P002,2025-01-20,Present,20/01/2025,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2025-01-21,Present,2025-01-21,
P002,2025-01-22,Present,22/01/2025,
P002,2025-01-23,I,2025-01-23,
P002,2025-01-24,Present,01-24-2025,
P002,2025-01-27,Present,2025-01-27,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2025-01-28,Present,2025-01-28,
P002,2025-01-29,Present,29/01/2025,
P002,2025-01-30,N/A,2025-01-30,
P002,2025-01-31,Present,2025-01-31,
P002,2025-02-03,Present,2025-02-03,
P002,2025-02-04,Present,2025-02-04,
P002,2025-02-05,Present,2025-02-05,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P002,2025-02-06,Present,2025-02-06,
P002,2025-02-07,Authorised Absence,07/02/2025,
P002,2025-02-10,Present,2025-02-10,
P002,2025-02-11,present,2025-02-11,
P002,2025-02-12,Present,2025-02-12,
P002,2025-02-13,Present,2025-02-13,
P002,2025-02-14,Present,2025-02-14,
P002,2025-02-24,Present,2025-02-24,
P002,2025-02-25,Present,02-25-2025,
P002,2025-02-26,Present,2025-02-26,
P002,2025-02-27,Present,2025-02-27,
P002,2025-02-28,Present,2025-02-28,
P002,2025-03-03,Present,2025-03-03,
P002,2025-03-04,Present,03-04-2025,
P002,2025-03-05,Present,2025-03-05,
P002,2025-03-06,Present,06/03/2025,
P002,2025-03-07,Present,2025-03-07,
P002,2025-03-10,Present,2025-03-10,
P002,2025-03-11,Present,2025-03-11,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2025-03-12,Present,2025-03-12,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2025-03-13,present,2025-03-13,
P002,2025-03-14,Present,14/03/2025,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2025-03-17,Present,17/03/2025,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P002,2025-03-18,Present,2025-03-18,
P002,2025-03-19,,19/03/2025,
P002,2025-03-20,Present,2025-03-20,
P002,2025-03-21,Authorised Absence,21/03/2025,
P002,2025-03-24,Present,03-24-2025,
P002,2025-03-25,P,2025-03-25,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P002,2025-03-26,present,2025-03-26,
P002,2025-03-27,Present,2025-03-27,
P002,2025-03-28,Present,28/03/2025,
P003,2024-09-02,Present,2024-09-02,
P003,2024-09-03,Present,2024-09-03,
P003,2024-09-04,Present,2024-09-04,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P003,2024-09-05,Illness,2024-09-05,
P003,2024-09-06,Present,2024-09-06,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-09-09,Present,2024-09-09,
P003,2024-09-10,Present,2024-09-10,
P003,2024-09-11,Present,11/09/2024,
P003,2024-09-12,Present,09-12-2024,
P003,2024-09-13,Present,2024-09-13,
P003,2024-09-16,Present,16/09/2024,
P003,2024-09-17,ill,2024-09-17,
P003,2024-09-18,Present,18/09/2024,
P003,2024-09-19,Illness,2024-09-19,
P003,2024-09-20,Present,2024-09-20,
P003,2024-09-23,P,09-23-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-09-24,Present,24/09/2024,
P003,2024-09-25,Present,2024-09-25,
P003,2024-09-26,Present,2024-09-26,
P003,2024-09-27,Illness,2024-09-27,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-09-30,Illness,2024-09-30,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-10-01,Present,10-01-2024,
P003,2024-10-02,Present,02/10/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-10-03,Present,2024-10-03,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P003,2024-10-04,Illness,2024-10-04,
P003,2024-10-07,Illness,2024-10-07,
P003,2024-10-08,Present,2024-10-08,
P003,2024-10-09,Present,2024-10-09,
P003,2024-10-10,Present,10/10/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-10-11,Present,2024-10-11,
P003,2024-10-14,Present,2024-10-14,
P003,2024-10-15,Present,2024-10-15,
P003,2024-10-16,Present,16/10/2024,
P003,2024-10-17,Present,2024-10-17,
P003,2024-10-18,Present,18/10/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-10-21,Present,2024-10-21,
P003,2024-10-22,Authorised Absence,2024-10-22,
P003,2024-10-23,present,2024-10-23,
P003,2024-10-24,Present,10-24-2024,
P003,2024-10-25,Present,10-25-2024,
P003,2024-11-04,N/A,2024-11-04,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-11-05,Present,05/11/2024,
P003,2024-11-06,ill,11-06-2024,
P003,2024-11-07,Present,2024-11-07,
P003,2024-11-08,Present,2024-11-08,
P003,2024-11-11,Present,11-11-2024,
P003,2024-11-12,Present,2024-11-12,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-11-13,Present,2024-11-13,
P003,2024-11-14,Present,2024-11-14,
P003,2024-11-15,Present,2024-11-15,
P003,2024-11-18,Present,2024-11-18,
P003,2024-11-19,I,2024-11-19,
P003,2024-11-20,Present,2024-11-20,
P003,2024-11-21,Present,11-21-2024,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-11-22,Present,11-22-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-11-25,Present,2024-11-25,
P003,2024-11-26,Present,2024-11-26,
P003,2024-11-27,Present,2024-11-27,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-11-28,present,28/11/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-11-29,Present,2024-11-29,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-12-02,present,2024-12-02,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P003,2024-12-03,Present,12-03-2024,
P003,2024-12-04,Present,2024-12-04,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P003,2024-12-05,Present,2024-12-05,
P003,2024-12-06,Illness,2024-12-06,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-12-09,Present,2024-12-09,
P003,2024-12-10,Illness,2024-12-10,
P003,2024-12-11,Present,2024-12-11,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P003,2024-12-12,Present,2024-12-12,
P003,2024-12-13,Present,2024-12-13,
P003,2024-12-16,Present,16/12/2024,
P003,2024-12-17,Present,2024-12-17,
P003,2024-12-18,present,18/12/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2024-12-19,Present,2024-12-19,
P003,2024-12-20,Present,12-20-2024,
P003,2025-01-06,Present,06/01/2025,
P003,2025-01-07,Present,07/01/2025,
P003,2025-01-08,P,2025-01-08,
P003,2025-01-09,Present,2025-01-09,
P003,2025-01-10,Present,01-10-2025,
P003,2025-01-13,present,2025-01-13,
P003,2025-01-14,Authorised Absence,14/01/2025,
P003,2025-01-15,Present,2025-01-15,
P003,2025-01-16,Unauthorised,01-16-2025,
P003,2025-01-17,Illness,2025-01-17,
P003,2025-01-20,Present,20/01/2025,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P003,2025-01-21,Present,01-21-2025,
P003,2025-01-22,Present,01-22-2025,
P003,2025-01-23,Present,2025-01-23,
P003,2025-01-24,Present,2025-01-24,
P003,2025-01-27,present,2025-01-27,
P003,2025-01-28,Present,28/01/2025,
P003,2025-01-29,Present,29/01/2025,
P003,2025-01-30,Present,2025-01-30,
P003,2025-01-31,Present,2025-01-31,
P003,2025-02-03,Present,02-03-2025,
P003,2025-02-04,Present,04/02/2025,
P003,2025-02-05,Present,2025-02-05,
P003,2025-02-06,Present,2025-02-06,
P003,2025-02-07,Present,2025-02-07,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-02-10,Present,2025-02-10,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-02-11,Present,2025-02-11,
P003,2025-02-12,Present,2025-02-12,
P003,2025-02-13,I,2025-02-13,
P003,2025-02-14,Present,2025-02-14,
P003,2025-02-24,Present,2025-02-24,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-02-25,,2025-02-25,
P003,2025-02-26,Present,26/02/2025,
P003,2025-02-27,P,27/02/2025,
P003,2025-02-28,Present,2025-02-28,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-03,Present,03-03-2025,
P003,2025-03-04,Present,2025-03-04,
P003,2025-03-05,Present,2025-03-05,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-06,Present,2025-03-06,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-07,I,2025-03-07,
P003,2025-03-10,N/A,2025-03-10,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-11,Present,2025-03-11,
P003,2025-03-12,Present,2025-03-12,
P003,2025-03-13,Present,2025-03-13,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-14,Present,14/03/2025,
P003,2025-03-17,present,2025-03-17,
P003,2025-03-18,present,2025-03-18,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-19,Present,2025-03-19,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-20,Present,03-20-2025,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-21,Present,21/03/2025,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P003,2025-03-24,Present,2025-03-24,
P003,2025-03-25,Present,2025-03-25,
P003,2025-03-26,Present,26/03/2025,
P003,2025-03-27,Present,2025-03-27,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P003,2025-03-28,Present,28/03/2025,
P004,2024-09-02,Present,2024-09-02,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-09-03,Present,2024-09-03,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P004,2024-09-04,Present,04/09/2024,
P004,2024-09-05,present,09-05-2024,
P004,2024-09-06,Present,2024-09-06,
P004,2024-09-09,I,2024-09-09,
P004,2024-09-10,Present,2024-09-10,
P004,2024-09-11,Present,11/09/2024,
P004,2024-09-12,Present,2024-09-12,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-09-13,Illness,2024-09-13,
P004,2024-09-16,Present,2024-09-16,
P004,2024-09-17,Present,2024-09-17,
P004,2024-09-18,Present,2024-09-18,
P004,2024-09-19,I,19/09/2024,
P004,2024-09-20,Illness,2024-09-20,
P004,2024-09-23,ill,2024-09-23,
P004,2024-09-24,Present,24/09/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P004,2024-09-25,Present,2024-09-25,
P004,2024-09-26,present,09-26-2024,
P004,2024-09-27,Present,2024-09-27,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-09-30,Present,2024-09-30,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-10-01,Present,2024-10-01,
P004,2024-10-02,Present,2024-10-02,
P004,2024-10-03,Present,2024-10-03,
P004,2024-10-04,Present,2024-10-04,
P004,2024-10-07,Present,07/10/2024,
P004,2024-10-08,Present,2024-10-08,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-10-09,P,2024-10-09,
P004,2024-10-10,Present,2024-10-10,
P004,2024-10-11,ill,2024-10-11,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-10-14,Present,2024-10-14,
P004,2024-10-15,Present,15/10/2024,
P004,2024-10-16,Illness,2024-10-16,
P004,2024-10-17,present,2024-10-17,
P004,2024-10-18,I,2024-10-18,
P004,2024-10-21,Present,2024-10-21,
P004,2024-10-22,Present,10-22-2024,
P004,2024-10-23,Present,2024-10-23,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-10-24,Present,2024-10-24,
P004,2024-10-25,P,2024-10-25,
P004,2024-11-04,Present,2024-11-04,
P004,2024-11-05,Present,05/11/2024,
P004,2024-11-06,ill,2024-11-06,
P004,2024-11-07,Present,2024-11-07,
P004,2024-11-08,I,11-08-2024,
P004,2024-11-11,Present,2024-11-11,
P004,2024-11-12,Present,11-12-2024,
P004,2024-11-13,Illness,2024-11-13,
P004,2024-11-14,Present,14/11/2024,
P004,2024-11-15,Present,15/11/2024,
P004,2024-11-18,I,11-18-2024,
P004,2024-11-19,Present,19/11/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-11-20,Present,2024-11-20,
P004,2024-11-21,present,11-21-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-11-22,Present,11-22-2024,
P004,2024-11-25,Present,25/11/2024,
P004,2024-11-26,Present,11-26-2024,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P004,2024-11-27,Present,2024-11-27,
P004,2024-11-28,ill,2024-11-28,
P004,2024-11-29,Present,29/11/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-12-02,Present,2024-12-02,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-12-03,Authorised Absence,2024-12-03,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P004,2024-12-04,present,2024-12-04,
P004,2024-12-05,Present,05/12/2024,
P004,2024-12-06,Present,2024-12-06,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-12-09,Present,2024-12-09,
P004,2024-12-10,Present,2024-12-10,
P004,2024-12-11,Present,2024-12-11,
P004,2024-12-12,Present,2024-12-12,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P004,2024-12-13,Present,2024-12-13,
P004,2024-12-16,Present,12-16-2024,
P004,2024-12-17,Present,2024-12-17,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-12-18,Present,18/12/2024,
P004,2024-12-19,ill,19/12/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P004,2024-12-20,Present,2024-12-20,
P004,2025-01-06,Present,06/01/2025,
